Designator,Mid X,Mid Y,Rotation,Layer
U45,309.5625,-214.3125,225.0,top
U46,328.6125,-214.3125,225.0,top
U47,347.6625,-214.3125,225.0,top
U48,400.05,-214.4,225.0,top
U49,419.1,-214.3125,225.0,top
U5,160.337087,-171.458839,225.0,top
U50,438.15,-214.3125,225.0,top
U51,142.875,-233.3625,225.0,top
U52,161.925,-233.45,225.0,top
U53,180.975,-233.3625,225.0,top
U54,200.025,-233.3625,225.0,top
U55,219.075,-233.45,225.0,top
U56,238.125,-233.3625,225.0,top
U57,257.175,-233.3625,225.0,top
U58,276.225,-233.3625,225.0,top
U59,295.275,-233.3625,225.0,top
U6,179.3875,-171.458839,225.0,top
U60,314.325,-233.45,225.0,top
U61,333.375,-233.3625,225.0,top
U62,364.33125,-233.3625,225.0,top
U63,116.68125,-233.3625,225.0,top
U64,366.7125,-195.2625,225.0,top
U65,419.1,-252.4125,225.0,top
U66,371.475,-214.4,225.0,top
U67,121.44375,-252.4125,225.0,top
U68,152.4,-252.4125,225.0,top
U69,171.45,-252.4125,225.0,top
U7,198.437087,-171.462913,225.0,top
U70,190.5,-252.4125,225.0,top
U71,209.55,-252.4125,225.0,top
U72,228.6,-252.4125,225.0,top
U73,247.65,-252.4125,225.0,top
U74,266.7,-252.4125,225.0,top
U75,285.75,-252.4125,225.0,top
U76,304.8,-252.4125,225.0,top
U77,323.85,-252.4125,225.0,top
U78,359.56875,-252.4125,225.0,top
U79,111.91875,-271.4625,225.0,top
U8,230.187087,-171.462913,225.0,top
U80,400.05,-271.55,225.0,top
U81,419.1,-271.4625,225.0,top
U82,438.15,-271.4625,225.0,top
U83,135.73125,-271.4625,225.0,top
U84,159.54375,-271.4625,225.0,top
U85,230.98125,-271.4625,225.0,top
U86,302.41875,-271.4625,225.0,top
U87,326.23125,-271.4625,225.0,top
U88,350.04375,-271.4625,225.0,top
U89,373.85625,-271.55,225.0,top
U9,249.237087,-171.462913,225.0,top
U90,400.05,-171.45,225.0,top
U91,419.1,-171.45,225.0,top
U92,438.15,-171.45,225.0,top
